Requisition ID,Requisition Display Job Title,Requisition Division,Requisition Owner - Name,Requisition Date Filled,Applicant Submission Source,Requisition Time to Fill,Candidates per req
req1962,IT Quality and Compliance Manager,IT Business Systems,Recruiter4,9/23/19 13:38,Careers Page,43,5
req1560,"Manager, Business Development - Northeast",Sales,Recruiter4,6/5/19 9:09,Added Manually,71,10
req1613,Patient Engagement Assistant,Patient Engagement,Recruiter4,5/21/19 9:38,Added Manually,44,1
req1881,"VP, Global Sales and Marketing",Sales,Recruiter4,9/18/19 16:34,Agency - B,70,1
req1215,"Account Executive - San Diego, CA",Sales,Recruiter4,1/4/19 17:16,Career Center,71,19
req2081,Managed Care Manager,National Accounts,Recruiter4,9/12/19 15:34,Added Manually,1,0
req2238,Human Resources Coordinator,Human Resources,Recruiter4,3/9/20 9:14,Careers Page,89,118
req1512,Human Resources Generalist,Human Resources,Recruiter4,7/1/19 17:30,Careers Page,139,40
req1698,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,11/14/19 8:40,Careers Page,182,2
req1245,"Director, R&D Project Management",28101 R&d Admin,Recruiter4,1/2/19 11:59,Careers Page,52,26
req1617,Distribution Technician Temp,Distribution PA,Recruiter4,8/7/19 11:37,Added Manually,122,1
req1496,Sr. Quality Engineer,Quality Assurance-r&d,Recruiter4,4/11/19 15:39,Careers Page,66,8
req1430,"Associate Account Executive - Kansas City, MO",Sales,Recruiter4,5/8/19 8:58,Careers Page,111,21
req2710,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter4,6/5/20 21:48,Agency - R,10,1
req2213,Sr. Human Resources Coordinator,Human Resources,Recruiter4,1/6/20 11:41,Careers Page,82,28
req1832,Account Executive - Tyler TX,Sales,Recruiter4,9/19/19 14:09,Added Manually,27,1
req1590,Associate Account Executive  - Northeast Region,Sales,Recruiter4,7/29/19 8:13,Careers Page,125,10
req1960,"Account Executive - St. Louis, MO",Sales,Recruiter4,12/12/19 12:55,Careers Page,123,46
req2247,Sales Operations Analyst,Sales,Recruiter4,1/6/20 8:17,Careers Page,68,37
req2683,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter4,5/29/20 20:10,Added Manually,20,1
req994,Talent Acquisition Partner,Human Resources,Recruiter4,8/15/18 15:19,Careers Page,7,10
2018-2859,"Associate Account Executive - New York, NY",Sales,Recruiter4,10/3/18 9:32,Careers Page,262,15
req2565,Site Support Specialist,Project Management,Recruiter4,3/30/20 8:48,Added Manually,20,1
req2033,"Supervisor, Distribution Systems Support",Distribution PA,Recruiter4,9/10/19 17:38,Added Manually,2,1
req1410,Regional Sales Director - Atlantic,Sales,Recruiter4,1/17/19 10:58,Career Center,11,10
req950,Application Support Engineer,IT Business Systems,Recruiter4,9/25/18 22:50,Career Center,78,20
req2099,Account Executive - CT,Sales,Recruiter4,12/2/19 8:43,Careers Page,80,3
req1710,Account Manager,Sales,Recruiter4,10/2/19 17:21,Career Center,145,32
req937,Account Executive - Central NJ,Sales,Recruiter4,10/3/18 9:03,Careers Page,86,55
